length, nodes, value, ratio
2 54 9 1
3 238 72 8
4 868 507 169/24
5 2492 3492 1164/169
6 5432 23697 2633/388
7 9024 158940 17660/2633
8 11841 1057941 117549/17660
9 13121 7012665 779185/117549
10 13377 46402069 46402069/7012665
16 13377 3896656375991 3896656375991/588605663733
32 13377 53057590438207889872446747 53057590438207889872446747/8014382280600569935914610
64 13377 9836180695516735794984701989368518527570809335797757 9836180695516735794984701989368518527570809335797757/1485761260417881364787617071745225426214717596274311
128 13377 338052728878733919854104770947865305878672270276752494188909050912648680520459570274390356292142683551191 338052728878733919854104770947865305878672270276752494188909050912648680520459570274390356292142683551191/51063076624395615069561064721446962888518095560472484194065189455818268902674259112931895648435829671725
256 13377 399300948202323570077282555589650476940438100852233259666732002411555608280109694394078421794606411197375329963312566828153448711206690260229384713287531428326668062926401495718700348855654020512739105792343706 399300948202323570077282555589650476940438100852233259666732002411555608280109694394078421794606411197375329963312566828153448711206690260229384713287531428326668062926401495718700348855654020512739105792343706/60314658550096175096414150762525863318608823230786316390891346016067444869844492861622364582235537277425195659755714697487975882270679295195874314647286522087136058834023810641098077348733485109433421312147909
512 13377 557098683755497328186854350131475469929980169582857282770374397091706497554004630049139906153418689453570772447778970072545830252430221240548051587449545604637839859690985147268377613775542353603659992820509518894661242297913852229301720004510688129592363203046208740875271600762802343082064008441693247780666152910376611145049760184022486034759230090599599838649592061991422173748816650193891675527937189571061183700544 557098683755497328186854350131475469929980169582857282770374397091706497554004630049139906153418689453570772447778970072545830252430221240548051587449545604637839859690985147268377613775542353603659992820509518894661242297913852229301720004510688129592363203046208740875271600762802343082064008441693247780666152910376611145049760184022486034759230090599599838649592061991422173748816650193891675527937189571061183700544/84150105429740382939749490695478206973081189553676647720199609162320980397168873645516674190054223362772075970021422138787493958444130125341685066319927981213620488460473917257025209042333028381692802189401161156841710696361133458084126007998545899536319449281730767556586181985568737500184922882074049620805548361195255033459894248662073837037250031301138067843433133587044886556936243387126512546703315138951460136359
1024 13377 1084415493992025011729900537484267986288046715512681097716785603371652864176879411427090352984810953583271489747472658417151715434335920333345911801780464479718116837255294118868020630647637430648341361103845734815022645556747412195644257074608368459631998639250079743239258387253081213097468408616976682734452209651102823505649824516323170049413210520203573420830513237100489192068343209189253994199369328045531605997952043148942704918971217780956265404792737364685136716496221937023116519320160065501926441155723445862891437774870708479563527601675217891781974958131797644574891815082358966762203592044267782281798589583004587347657156806835373791752675902647295543510643007739983887296513888695912558248762371777973296313349895478938232071541816343399439599436197199352108925968383581214442178641720669337563917052129829317547781168028707 1084415493992025011729900537484267986288046715512681097716785603371652864176879411427090352984810953583271489747472658417151715434335920333345911801780464479718116837255294118868020630647637430648341361103845734815022645556747412195644257074608368459631998639250079743239258387253081213097468408616976682734452209651102823505649824516323170049413210520203573420830513237100489192068343209189253994199369328045531605997952043148942704918971217780956265404792737364685136716496221937023116519320160065501926441155723445862891437774870708479563527601675217891781974958131797644574891815082358966762203592044267782281798589583004587347657156806835373791752675902647295543510643007739983887296513888695912558248762371777973296313349895478938232071541816343399439599436197199352108925968383581214442178641720669337563917052129829317547781168028707/163801640194007067926295946896285134281382313809481399283724872182556247365283990604123328458149077248160719542938470862356893195065338035012523240780050532564502707051981531833253358924443210616629696844175852000330540941929542601654263052043866103844166699296876956877614877398351320163633500642877200447363351665523478451750582722101848542187189815493252331109113082631547073041605233791395163197545175813064048715828148949929756490398531690040204258238614991419351100090213423231826629253389902496759988857585163678190708532381066965652997638801703842624177601910335888869809898148110695046660358302249683011887636800710972939028128909839358265960984466119118245343944915444612312349943795011429514394925289582861731984729868415473989658185617657323258517048103901002308447014173979980275679686060268331568425133191106882231808807589795
